"Cieszę się każdym oddechem, który odpręża mój umysł i ciało.",,,,,,
Jestem spokojna/y i skoncentrowana/y na teraźniejszości.,,,,,,
Usuwam stres i napięcie z mojego ciała.,,,,,,
Moje myśli są spokojne i klarowne.,,,,,,
Zasługuję na chwilę spokoju i relaksu.,,,,,,
"Potrafię radzić sobie z wyzwaniami, które napotykam.",,,,,,
Mój umysł jest pełen spokoju i harmonii.,,,,,,
Jestem wdzięczna/y za wszystkie dobre rzeczy w moim życiu.,,,,,,
Mój oddech jest głęboki i uspokajający.,,,,,,
Odpuszczam kontrolę i ufam procesowi życia.,,,,,,
Wokół mnie panuje spokój i harmonia.,,,,,,
"Wszystko, czego potrzebuję, mam już w sobie.",,,,,,
Wybieram spokój i zrównoważenie.,,,,,,
Przyjmuję sytuacje z życia z pokorą i spokojem.,,,,,,
"Dbam o siebie, zarówno fizycznie, jak i emocjonalnie.",,,,,,
Mój umysł jest wolny od niepotrzebnych obaw.,,,,,,
Staram się znaleźć równowagę między pracą a odpoczynkiem.,,,,,,
"Wszystko, co robię, robię z pełnym zaangażowaniem, ale bez nadmiernego stresu.",,,,,,
"Uwolnienie stresu to proces, który przechodzę z łatwością.",,,,,,
Każdy oddech przynosi mi spokój i ulgę.,,,,,,
Uwolnienie stresu pozwala mi na większą kreatywność i skupienie.,,,,,,
"Jestem w pełni obecna/y w każdej chwili, co zmniejsza moje odczucie stresu.",,,,,,
Dziękuję swojemu ciału za siłę i zdolność do relaksacji.,,,,,,
"Wybieram pozytywne myśli i odczucia, które redukują stres.",,,,,,
"Uczę się, jak dbać o swoje emocje i potrzeby.",,,,,,
"Moje ciało jest zrelaksowane, a mój umysł jest spokojny.",,,,,,
Pozwalam sobie na chwilę spokoju i refleksji.,,,,,,
Każdy dzień jest nową możliwością do zmniejszenia stresu.,,,,,,
"Poradzę sobie, niezależnie od tego, co się dzieje.",,,,,,
"Zmniejszam stres, angażując się w aktywności, które mnie relaksują.",,,,,,
Wybieram dobre samopoczucie i spokój zamiast stresu.,,,,,,
Oddalam negatywne myśli i skupiam się na pozytywnych aspektach życia.,,,,,,
Moje ciało jest napełnione spokojem i energią.,,,,,,
Uwolnienie stresu pozwala mi na pełniejsze doświadczanie życia.,,,,,,
"Potrafię powiedzieć -nie-  sytuacjom, które mnie przytłaczają.",,,,,,
Każdy oddech wypełnia mnie spokojem i optymizmem.,,,,,,
Moje myśli są pełne spokoju i optymizmu.,,,,,,
"Warto dbać o siebie i swoje potrzeby, aby zredukować stres.",,,,,,
"Dziękuję sobie za wysiłek, jaki wkładam w redukcję stresu.",,,,,,
Spokój jest moim naturalnym stanem bycia.,,,,,,
Jestem silna/y i zdolna/y do radzenia sobie z wyzwaniami.,,,,,,
Każdy dzień przynosi mi nowe możliwości zmniejszenia stresu.,,,,,,
Odpuszczam potrzebę kontrolowania wszystkiego w moim życiu.,,,,,,
Każdy oddech przynosi mi spokój i ulgę.,,,,,,
Uczę się czerpać radość z prostych przyjemności życia.,,,,,,
"Moje myśli są skupione na teraźniejszości, co zmniejsza mój stres.",,,,,,
Zasługuję na spokój i radość w swoim życiu.,,,,,,
Potrafię powiedzieć -tak- sobie i swoim potrzebom.,,,,,,
"Uwolnienie stresu to dar, który daję sobie codziennie.",,,,,,
"Każde wyzwanie, z którym się spotykam, przyczynia się do mojego rozwoju.",,,,,,
"Moje ciało jest zrelaksowane, a mój umysł jest spokojny.",,,,,,
"Jesteśmy jednością z przyrodą, co przynosi mi spokój i równowagę.",,,,,,
Moje ciało jest miejscem spokoju i komfortu.,,,,,,
"Dziękuję sobie za to, że poświęcam czas na relaksację.",,,,,,
Każdy oddech przynosi mi spokój i odprężenie.,,,,,,
"Uwolnienie stresu jest procesem, który prowadzi do mojego dobrostanu.",,,,,,
Wybieram zdrowe strategie radzenia sobie ze stresem.,,,,,,
Spokój i zrównoważenie są fundamentem mojego codziennego życia.,,,,,,
Moje myśli są pełne pokoju i akceptacji.,,,,,,
Jestem świadoma/y swoich emocji i pozwalam im swobodnie płynąć.,,,,,,
Każdy oddech przynosi mi spokój i świeżość.,,,,,,
Uwolnienie stresu jest moim priorytetem.,,,,,,
"Wybieram spokojne otoczenie, które sprzyja redukcji stresu.",,,,,,
"Moje ciało jest zrelaksowane, a mój umysł jest spokojny.",,,,,,
"Potrafię wyznaczać zdrowe granice, aby zredukować stres.",,,,,,
